DEPARTING_AIRPORT_ID,DEPARTING_AIRPORT
0,UNKNOWN
1,Adams Field
2,Albany International
3,Albuquerque International Sunport
4,Anchorage International
5,Atlanta Municipal
6,Austin - Bergstrom International
7,Birmingham Airport
8,Boise Air Terminal
9,Bradley International
10,Charleston International
11,Chicago Midway International
12,Chicago O'Hare International
13,Cincinnati/Northern Kentucky International
14,Cleveland-Hopkins International
15,Dallas Fort Worth Regional
16,Dallas Love Field
17,Des Moines Municipal
18,Detroit Metro Wayne County
19,Douglas Municipal
20,El Paso International
21,Eppley Airfield
22,Fort Lauderdale-Hollywood International
23,Friendship International
24,General Mitchell Field
25,Greater Buffalo International
26,Greenville-Spartanburg
27,Hollywood-Burbank Midpoint
28,Honolulu International
29,Houston Intercontinental
30,Indianapolis Muni/Weir Cook
31,Jacksonville International
32,James M Cox/Dayton International
33,John F. Kennedy International
34,Kahului Airport
35,Kansas City International
36,Keahole
37,Kent County
38,LaGuardia
39,Lambert-St. Louis International
40,Lihue Airport
41,Logan International
42,Long Beach Daugherty Field
43,Los Angeles International
44,Louis Armstrong New Orleans International
45,McCarran International
46,McGhee Tyson
47,Memphis International
48,Metropolitan Oakland International
49,Miami International
50,Minneapolis-St Paul International
51,Myrtle Beach International
52,Nashville International
53,Newark Liberty International
54,Norfolk International
55,Northwest Arkansas Regional
56,Ontario International
57,Orange County
58,Orlando International
59,Palm Beach International
60,Palm Springs International
61,Pensacola Regional
62,Philadelphia International
63,Phoenix Sky Harbor International
64,Piedmont Triad International
65,Pittsburgh International
66,Port Columbus International
67,Portland International
68,Portland International Jetport
69,Puerto Rico International
70,Raleigh-Durham International
71,Reno/Tahoe International
72,Richmond International
73,Rochester Monroe County
74,Ronald Reagan Washington National
75,Sacramento International
76,Salt Lake City International
77,San Antonio International
78,San Diego International Lindbergh Fl
79,San Francisco International
80,San Jose International
81,Sanford NAS
82,Savannah/Hilton Head International
83,Seattle International
84,Southwest Florida International
85,Spokane International
86,Standiford Field
87,Stapleton International
88,Syracuse Hancock International
89,Tampa International
90,Theodore Francis Green State
91,Truax Field
92,Tucson International
93,Tulsa International
94,Washington Dulles International
95,Will Rogers World
96,William P Hobby
